time(s)	cellId	rnti	lcid	packetSize
0.428922	2	1	4	1030
0.428962	2	1	4	1030
0.429002	2	1	4	1030
0.429042	2	1	4	1030
0.429082	2	1	4	1030
0.429122	2	1	4	1030
0.429162	2	1	4	1030
0.429202	2	1	4	1030
0.429242	2	1	4	1030
0.429282	2	1	4	1030
0.429322	2	1	4	1030
0.429362	2	1	4	1030
0.429402	2	1	4	1030
0.429442	2	1	4	1030
0.429482	2	1	4	1030
0.429522	2	1	4	1030
0.429562	2	1	4	1030
0.429602	2	1	4	1030
0.429642	2	1	4	1030
0.429682	2	1	4	1030
0.429722	2	1	4	1030
0.429762	2	1	4	1030
0.429802	2	1	4	1030
0.429842	2	1	4	1030
0.429882	2	1	4	1030
0.429922	2	1	4	1030
0.429962	2	1	4	1030
0.430002	2	1	4	1030
0.430042	2	1	4	1030
0.430082	2	1	4	1030
0.430122	2	1	4	1030
0.430162	2	1	4	1030
0.430202	2	1	4	1030
0.430242	2	1	4	1030
0.430282	2	1	4	1030
0.430322	2	1	4	1030
0.430362	2	1	4	1030
0.430402	2	1	4	1030
0.430442	2	1	4	1030
0.430482	2	1	4	1030
0.430522	2	1	4	1030
0.430562	2	1	4	1030
0.430602	2	1	4	1030
0.430642	2	1	4	1030
0.430682	2	1	4	1030
0.430722	2	1	4	1030
0.430762	2	1	4	1030
0.430802	2	1	4	1030
0.430842	2	1	4	1030
0.430882	2	1	4	1030
0.430922	2	1	4	1030
0.430962	2	1	4	1030
0.431002	2	1	4	1030
0.431042	2	1	4	1030
0.431082	2	1	4	1030
0.431122	2	1	4	1030
0.431162	2	1	4	1030
0.431202	2	1	4	1030
0.431242	2	1	4	1030
0.431282	2	1	4	1030
0.431322	2	1	4	1030
0.431362	2	1	4	1030
0.431402	2	1	4	1030
0.431442	2	1	4	1030
0.431482	2	1	4	1030
0.431522	2	1	4	1030
0.431562	2	1	4	1030
0.431602	2	1	4	1030
0.431642	2	1	4	1030
