% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
0.553	1	0	1	1	55	5	0	1	12	0	15	0	2	0	8312
0.553	1	0	1	1	55	5	0	1	12	1	15	255	0	255	0
0.554	1	0	1	1	55	6	0	1	12	0	14	0	2	0	8312
0.554	1	0	1	1	55	6	0	1	12	1	14	255	0	255	0
0.555	1	0	1	1	55	7	0	1	12	0	13	0	2	0	8312
0.555	1	0	1	1	55	7	0	1	12	1	13	255	0	255	0
0.556	1	0	1	1	55	8	0	1	11	0	10	1	0	0	7621
0.556	1	0	1	1	55	8	0	1	11	1	10	1	0	0	7621
0.557	1	0	1	1	55	9	0	1	12	0	12	0	2	0	8312
0.557	1	0	1	1	55	9	0	1	12	1	12	255	0	255	0
0.558	1	0	1	1	56	0	0	1	12	0	15	0	3	0	8312
0.558	1	0	1	1	56	0	0	1	12	1	15	255	0	255	0
0.559	1	0	1	1	56	1	0	1	12	0	14	0	3	0	8312
0.559	1	0	1	1	56	1	0	1	12	1	14	255	0	255	0
0.56	1	0	1	1	56	2	0	1	12	0	13	0	3	0	8312
0.56	1	0	1	1	56	2	0	1	12	1	13	255	0	255	0
0.561	1	0	1	1	56	3	0	1	12	0	10	0	1	0	7621
0.561	1	0	1	1	56	3	0	1	12	1	10	255	0	255	0
0.562	1	0	1	1	56	4	0	1	12	0	12	0	3	0	8312
0.562	1	0	1	1	56	4	0	1	12	1	12	255	0	255	0
0.563	1	0	1	1	56	5	0	1	12	0	15	1	0	0	8312
0.563	1	0	1	1	56	5	0	1	12	1	15	1	0	0	8312
0.564	1	0	1	1	56	6	0	1	12	0	14	1	0	0	8312
0.564	1	0	1	1	56	6	0	1	12	1	14	1	0	0	8312
0.565	1	0	1	1	56	7	0	1	12	0	13	1	0	0	8312
0.565	1	0	1	1	56	7	0	1	12	1	13	1	0	0	8312
0.566	1	0	1	1	56	8	0	1	12	0	10	0	2	0	7621
0.566	1	0	1	1	56	8	0	1	12	1	10	255	0	255	0
